"id","Completed","003","0002","0004","0005","0001","0001","0001","0001","0001","0001","0002","0001","0002","0001","0002","0001","0002","0001","0002","0001","0001","0001","0002","0001","0002","0001","0002","0003","0004","0005","0006","0007","0008","0009","0010","0011","0012","0013","0014","0015","0007 [Répliques]","0007 [Musique]","0007 [Qualité de l'histoire]","0007 [Revoir un film plusieurs fois sans se lasser]","0007 [L'avoir vu enfant]","0007 [Porteur d'émotion]"
"4","Y","21","Homme","France ","Oui","Musique","Yes","Star Wars","No","","Yes","Livre de la jungle","Yes","Titanic","Yes","Star wars","Yes","Titanic","Yes","Roo lion","Yes","Seigneur des anneaux","Yes","Terminator","Yes","LOTR","","Plus de 5 fois","11-20 years old","","2-5 fois","0-10 years old","","Plus de 5 fois","11-20 years old","","Plus de 5 fois","11-20 years old","","2-5 fois","11-20 years old","Plutôt d'accord","D'accord","Plutôt d'accord","Plutôt d'accord","Pas d'accord","D'accord"
"5","Y","19","Homme","France ","Oui","Musique","Yes","Star Wars épisode V : L'Empire Contre-Attaque","Yes","Terminator","Yes","Le Roi Lion","Yes","Titanic","Yes","Star Wars","Yes","Titanic","Yes","Le Roi Lion","Yes","Le seigneur des anneaux","Yes","Terminator","Yes","Le seigneur des anneaux","","Plus de 5 fois","0-10 years old","","2-5 fois","0-10 years old","","2-5 fois","11-20 years old","","0 fois","","","Plus de 5 fois","0-10 years old","Plutôt d'accord","Plutôt d'accord","D'accord","Neutre","Plutôt pas d'accord","Plutôt d'accord"
"6","Y","21","Homme","France ","Oui","Musique","Yes","Star Wars V : L'empire contre-attaque","Yes","Terminator","Yes","Le Roi Lion","Yes","Titanic","Yes","Star Wars","Yes","Titanic","Yes","Le Roi Lion","Yes","Le Seigneur des Anneaux","Yes","La pub pour After Eight :)","Yes","Le Seigneur des Anneaux","","Plus de 5 fois","0-10 years old","","2-5 fois","11-20 years old","","Plus de 5 fois","0-10 years old","","0 fois","","","2-5 fois","11-20 years old","D'accord","D'accord","Neutre","Plutôt d'accord","Pas d'accord","D'accord"
"7","Y","21","Homme","France ","Oui","Musique","Yes","Star Wars episode 5","No","","No","","Yes","Le roi lion ","Yes","Star wars","Yes","Titanic ","Yes","Le roi lion ","Yes","Le seigneur des anneaux ","No","","Yes","Le seigneur des anneaux- la communauté de l’annea ","","Plus de 5 fois","0-10 years old","","Plus de 5 fois","0-10 years old","","2-5 fois","11-20 years old","","Plus de 5 fois","0-10 years old","","0 fois","","Plutôt d'accord","Plutôt d'accord","D'accord","D'accord","Neutre","Plutôt d'accord"
"8","Y","21","Homme","France ","Oui","Musique","Yes","star wars","Yes","terminator","Yes","le roi lion","Yes","titanic","Yes","star wars","Yes","titanic","Yes","le roi lion","Yes","le seigneur des anneaux","Yes","terminator","Yes","le seigneur des anneaux","","1 fois","11-20 years old","","2-5 fois","0-10 years old","","2-5 fois","0-10 years old","","Plus de 5 fois","0-10 years old","","1 fois","0-10 years old","D'accord","D'accord","D'accord","D'accord","Neutre","D'accord"
"9","Y","22","Homme","France ","Oui","Répliques","Yes","Star wars","Yes","Terminator 2","Yes","Le Roi Lion","Yes","Titanic","Yes","Star Wars","Yes","Titanic","Yes","Le roi lion","Yes","Le seigneur des anneaux","Yes","Terminator","Yes","Le seigneur des anneaux","","1 fois","11-20 years old","","1 fois","0-10 years old","","1 fois","11-20 years old","","1 fois","11-20 years old","","0 fois","","D'accord","D'accord","Neutre","Plutôt d'accord","Plutôt d'accord","Plutôt d'accord"
"11","Y","22","Homme","France ","Oui","Répliques","Yes","Star Wars","No","","No","","Yes","Titanic","Yes","Star Wars","Yes","Titanic","Yes","Le roi lion","Yes","Le seigneur des anneaux","No","","Yes","Le seigneur des anneaux","","0 fois","","","1 fois","0-10 years old","","2-5 fois","11-20 years old","","1 fois","11-20 years old","","0 fois","","D'accord","D'accord","Plutôt d'accord","Neutre","Plutôt pas d'accord","Plutôt d'accord"
"13","Y","20","Homme","France ","Oui","Répliques","Yes","Star wars","No","","No","","Yes","Le roi lion (je suis pas sûr du tout)","Yes","Star wars","Yes","Titanic","No","","Yes","Lord of the ring","Yes","Terminator","Yes","Lord of the ring","","Plus de 5 fois","11-20 years old","","1 fois","0-10 years old","","1 fois","11-20 years old","","Plus de 5 fois","0-10 years old","","1 fois","11-20 years old","Plutôt d'accord","Plutôt d'accord","D'accord","D'accord","Neutre","Plutôt d'accord"
"14","Y","21","Homme","France ","Oui","Musique","Yes","Star Wars","No","","Yes","le roi lion","Yes","Titanic","Yes","Star Wars","Yes","Titanic","Yes","Le roi Lion","No","","No","","Yes","Seigneur des anneaux","","1 fois","11-20 years old","","2-5 fois","0-10 years old","","0 fois","","","0 fois","","","0 fois","","D'accord","D'accord","Plutôt d'accord","Plutôt d'accord","Pas d'accord","Neutre"
"15","Y","21","Homme","France ","Oui","Répliques","Yes","Star Wars","Yes","Terminator","Yes","Le roi Lion","Yes","Titanic","Yes","Star Wars","Yes","Titanic","Yes","Le roi Lion","Yes","Le seigneur des Anneaux","Yes","Terminator","Yes","Le seigneur des Anneaux","","2-5 fois","0-10 years old","","2-5 fois","0-10 years old","","1 fois","11-20 years old","","Plus de 5 fois","11-20 years old","","2-5 fois","11-20 years old","D'accord","D'accord","Plutôt d'accord","Plutôt d'accord","Plutôt d'accord","Plutôt d'accord"
"16","Y","56","Femme","Andorre ","Non","Musique","No","","Yes","Le monde de Nemo","Yes","Hakuna matata le célèbre manga","Yes","Le seigneur des agneaux","Yes","Star Wars a spécial holiday","Yes","Roger rabbit","No","","No","","Yes","Taken","Yes","Wikipedia","","Plus de 5 fois","More than 20 years old","","Plus de 5 fois","More than 20 years old","","Plus de 5 fois","More than 20 years old","","Plus de 5 fois","More than 20 years old","","Plus de 5 fois","More than 20 years old","Neutre","Pas d'accord","D'accord","Pas d'accord","Plutôt pas d'accord","Neutre"
"17","Y","21","Homme","France ","Oui","Musique","Yes","L’Empire contre-attaque ","Yes","Les Visiteurs ","Yes","Le roi lion ","Yes","Titanic ","Yes","L’Empire contre-attaque ","Yes","Titanic ","Yes","Le roi lion ","No","","Yes","Terminator ","No","","","Plus de 5 fois","11-20 years old","","2-5 fois","0-10 years old","","Plus de 5 fois","0-10 years old","","0 fois","","","0 fois","","D'accord","D'accord","D'accord","D'accord","Plutôt pas d'accord","D'accord"
"18","Y","22","Homme","France ","Oui","Musique","Yes","Star Wars","Yes","Terminator 2","Yes","Le roi Lion","Yes","Titanic","Yes","Star Wars","Yes","Titanic","Yes","Le roi Lion","Yes","Le Seigneur des Anneaux","Yes","Terminator","Yes","Le Seigneur des Anneaux","","2-5 fois","11-20 years old","","Plus de 5 fois","0-10 years old","","Plus de 5 fois","0-10 years old","","1 fois","11-20 years old","","1 fois","11-20 years old","Plutôt d'accord","D'accord","Plutôt d'accord","D'accord","Pas d'accord","Neutre"
"19","Y","19","Homme","France ","Oui","Musique","Yes","Star wars","No","","Yes","Le roi lion","Yes","Titanic","Yes","Star wars","Yes","Le roi lion","Yes","Le roi lion","No","","No","","Yes","Le seigneur des anneaux","","1 fois","11-20 years old","","Plus de 5 fois","0-10 years old","","2-5 fois","11-20 years old","","0 fois","","","0 fois","","D'accord","D'accord","D'accord","D'accord","Plutôt pas d'accord","Plutôt d'accord"
"20","Y","24","Homme","France ","Oui","Musique","Yes","Star Wars","Yes","Terminator","Yes","Le roi lion","Yes","Titanic","Yes","Star Wars","Yes","Titanic","Yes","Le roi lion","Yes","Le seigneur des anneaux","Yes","Terminator","Yes","Le seigneur des anneaux","","1 fois","11-20 years old","","Plus de 5 fois","0-10 years old","","0 fois","","","2-5 fois","0-10 years old","","1 fois","11-20 years old","D'accord","D'accord","Plutôt d'accord","Plutôt d'accord","Neutre","Plutôt d'accord"
"21","Y","25","Homme","France ","Oui","Répliques","Yes","Star Wars V","No","","Yes","Le Roi Lion","Yes","Titanic","Yes","Star Wars","No","","Yes","Le Roi Lion","No","","Yes","Terminator","Yes","Le seigneur des anneaux","","2-5 fois","0-10 years old","","2-5 fois","0-10 years old","","2-5 fois","11-20 years old","","0 fois","","","0 fois","","D'accord","D'accord","D'accord","D'accord","Neutre","D'accord"
"22","Y","20","Homme","France ","Oui","Musique","Yes","Star Wars V","Yes","Terminator","Yes","Le roi lion","Yes","Titanic","Yes","Star Wars","Yes","Titanic","Yes","Le roi lion","Yes","Le seigneur des anneaux","Yes","Terminator","Yes","Le seigneur des anneaux","","Plus de 5 fois","0-10 years old","","2-5 fois","0-10 years old","","0 fois","","","Plus de 5 fois","0-10 years old","","1 fois","0-10 years old","Plutôt d'accord","D'accord","Neutre","D'accord","D'accord","Plutôt d'accord"
"24","Y","20","Homme","France ","Oui","Répliques","Yes","Star Wars 5","No","","Yes","Le roi Lion","Yes","Titanic","Yes","Star wars","Yes","Astérix et obélix mission cléopâtre","Yes","Le roi Lion","Yes","Le seigneur des anneaux","Yes","Terminator","Yes","Le seigneur des anneaux","","1 fois","0-10 years old","","0 fois","","","0 fois","","","2-5 fois","0-10 years old","","0 fois","","Plutôt d'accord","D'accord","D'accord","Neutre","Plutôt d'accord","Neutre"
"25","Y","23","Homme","France ","Non","Musique","Yes","Star wars","Yes","Terminator","Yes","Le roi Lion ","Yes","Titanic","Yes","Star wars","Yes","Titanic","Yes","Le Roi Lion","Yes","Le seigneur des anneaux","Yes","Terminator ","Yes","Seigneur des anneaux","","1 fois","11-20 years old","","Plus de 5 fois","0-10 years old","","2-5 fois","11-20 years old","","2-5 fois","11-20 years old","","1 fois","11-20 years old","Plutôt d'accord","D'accord","D'accord","D'accord","D'accord","Plutôt pas d'accord"
