Time to compute: 47582.656 seconds
RandomizedSearchCV(cv='warn', error_score='raise-deprecating',
                   estimator=ClaimClassifier(activation_function='relu',
                                             architecture=(64, 64, 64),
                                             batch_size=8, epochs=10,
                                             l1_weight=0, l2_weight=0,
                                             learning_rate=0.001,
                                             loss=<tensorflow.python.keras.losses.BinaryCrossentropy object at 0x109e31390>,
                                             metrics=[<tensorflow.python.keras.losses.BinaryCrossentropy object at 0x...
                                                      <class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>,
                                                      <class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>,
                                                      <class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>,
                                                      <class 'tensorflow.python.keras.optimizer_v2.gradient_descent.SGD'>]},
                   pre_dispatch='2*n_jobs', random_state=None, refit=True,
                   return_train_score=False, scoring=None, verbose=0)
Best hyperparameter combination found
{'optimizer': <class 'tensorflow.python.keras.optimizer_v2.gradient_descent.SGD'>, 'learning_rate': 0.004320239474094066, 'l2_weight': 1.0, 'l1_weight': 0.18887560283756186, 'epochs': 20, 'batch_size': 128, 'architecture': (512, 4, 1, 4), 'activation_function': 'sigmoid'}

Grid scores on development set:

0.642 (+/-0.040) for {'optimizer': <class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>, 'learning_rate': 0.2110720877910902, 'l2_weight': 0.06217652402211632, 'l1_weight': 1.0, 'epochs': 40, 'batch_size': 16, 'architecture': (1024, 64, 1, 4), 'activation_function': 'sigmoid'}
0.623 (+/-0.027) for {'optimizer': <class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>, 'learning_rate': 0.0024787521766663585, 'l2_weight': 0.020468075714350484, 'l1_weight': 1.0, 'epochs': 50, 'batch_size': 32, 'architecture': (64, 32, 16, 1024), 'activation_function': <function leaky_relu at 0x12c81cdd0>}
0.650 (+/-0.020) for {'optimizer': <class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>, 'learning_rate': 0.02287346491123891, 'l2_weight': 0.03567399334725241, 'l1_weight': 0.10836802322189586, 'epochs': 30, 'batch_size': 64, 'architecture': (1, 1024, 4, 2), 'activation_function': 'sigmoid'}
0.662 (+/-0.007) for {'optimizer': <class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>, 'learning_rate': 0.02287346491123891, 'l2_weight': 0.18887560283756186, 'l1_weight': 1.0, 'epochs': 20, 'batch_size': 16, 'architecture': (8, 128, 16, 8), 'activation_function': 'sigmoid'}
0.657 (+/-0.032) for {'optimizer': <class 'tensorflow.python.keras.optimizer_v2.adagrad.Adagrad'>, 'learning_rate': 0.06948345122280151, 'l2_weight': 0.10836802322189586, 'l1_weight': 0.10836802322189586, 'epochs': 10, 'batch_size': 16, 'architecture': (128, 512, 16, 8), 'activation_function': 'relu'}
0.647 (+/-0.043) for {'optimizer': <class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>, 'learning_rate': 0.06948345122280151, 'l2_weight': 0.10836802322189586, 'l1_weight': 0.01174362845702136, 'epochs': 10, 'batch_size': 16, 'architecture': (512, 16, 4, 1), 'activation_function': 'tanh'}
0.634 (+/-0.045) for {'optimizer': <class 'tensorflow.python.keras.optimizer_v2.rmsprop.RMSprop'>, 'learning_rate': 0.013123728736940956, 'l2_weight': 0.03567399334725241, 'l1_weight': 0.03567399334725241, 'epochs': 10, 'batch_size': 32, 'architecture': (32, 512, 512, 4), 'activation_function': 'sigmoid'}
0.633 (+/-0.027) for {'optimizer': <class 'tensorflow.python.keras.optimizer_v2.gradient_descent.SGD'>, 'learning_rate': 0.02287346491123891, 'l2_weight': 0.573753420737433, 'l1_weight': 0.06217652402211632, 'epochs': 50, 'batch_size': 128, 'architecture': (1024, 64, 2, 4), 'activation_function': 'sigmoid'}
0.674 (+/-0.033) for {'optimizer': <class 'tensorflow.python.keras.optimizer_v2.gradient_descent.SGD'>, 'learning_rate': 0.007529784255650023, 'l2_weight': 0.10836802322189586, 'l1_weight': 0.32919298780790573, 'epochs': 30, 'batch_size': 16, 'architecture': (1024, 2, 512, 32), 'activation_function': 'sigmoid'}
0.665 (+/-0.040) for {'optimizer': <class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>, 'learning_rate': 0.013123728736940956, 'l2_weight': 0.573753420737433, 'l1_weight': 0.573753420737433, 'epochs': 20, 'batch_size': 16, 'architecture': (128, 64, 1, 512), 'activation_function': 'relu'}
0.639 (+/-0.050) for {'optimizer': <class 'tensorflow.python.keras.optimizer_v2.adam.Adam'>, 'learning_rate': 0.02287346491123891, 'l2_weight': 0.10836802322189586, 'l1_weight': 0.03567399334725241, 'epochs': 40, 'batch_size': 32, 'architecture': (128, 8, 2, 8), 'activation_function': 'sigmoid'}
0.642 (+/-0.034) for {'optimizer': <class 'tensorflow.python.keras.optimizer_v2.nadam.Nadam'>, 'learning_rate': 0.0024787521766663585, 'l2_weight': 0.32919298780790573, 'l1_weight': 0.06217652402211632, 'epochs': 20, 'batch_size': 32, 'architecture': (8, 64, 16, 1), 'activation_function': 'sigmoid'}
